Scheme Name,Folio No,ISIN,Transaction Date,Transaction Type,Amount (Rs.),Units,Price (Rs.)
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-09-2023,SIP,2000,22.3464,89.5
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-09-2023,SIP,2000,27.7778,72.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-09-2023,SIP,2000,27.7778,72.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-09-2023,SIP,1000,4.7059,212.5
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-10-2023,SIP,3000,53.5714,56.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-10-2023,SIP,2000,21.978,91.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-10-2023,SIP,2000,27.274,73.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-10-2023,SIP,2000,27.274,73.33
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-10-2023,SIP,1000,4.6512,215.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-11-2023,SIP,3000,52.6316,57.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-11-2023,SIP,2000,21.6216,92.5
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-11-2023,SIP,2000,26.7845,74.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-11-2023,SIP,2000,26.7845,74.67
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-11-2023,SIP,1000,4.5977,217.5
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-12-2023,SIP,3000,51.7241,58.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-12-2023,SIP,2000,21.2766,94.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-12-2023,SIP,2000,26.3158,76.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-12-2023,SIP,2000,26.3158,76.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-12-2023,SIP,1000,4.5455,220.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-01-2024,SIP,3000,50.8475,59.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-01-2024,SIP,2000,20.9798,95.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-01-2024,SIP,2000,25.641,78.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-01-2024,SIP,2000,25.974,77.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-01-2024,SIP,1000,4.4843,223.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-02-2024,SIP,3000,50.0,60.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-02-2024,SIP,2000,20.6889,96.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-02-2024,SIP,2000,25.0,80.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-02-2024,SIP,2000,25.641,78.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-02-2024,SIP,1000,4.4248,226.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-03-2024,SIP,3000,49.1803,61.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-03-2024,SIP,2000,20.4082,98.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-03-2024,SIP,2000,24.3902,82.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-03-2024,SIP,2000,25.3165,79.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-03-2024,SIP,1000,4.3668,229.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-04-2024,SIP,3000,48.3871,62.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-04-2024,SIP,2000,20.1349,99.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-04-2024,SIP,2000,23.8095,84.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-04-2024,SIP,2000,25.0,80.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-04-2024,SIP,1000,4.3103,232.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,15-04-2024,Redemption,40000.0,500.0,80.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-05-2024,SIP,3000,47.619,63.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-05-2024,SIP,2000,19.8669,100.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-05-2024,SIP,2000,23.2558,86.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-05-2024,SIP,2000,24.6914,81.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-05-2024,SIP,1000,4.2553,235.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-06-2024,SIP,3000,46.875,64.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-06-2024,SIP,2000,19.6078,102.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-06-2024,SIP,2000,22.7273,88.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-06-2024,SIP,2000,24.3902,82.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-06-2024,SIP,1000,4.2017,238.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-07-2024,SIP,3000,46.3894,64.67
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-07-2024,SIP,2000,19.4175,103.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-07-2024,SIP,2000,22.5555,88.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-07-2024,SIP,2000,24.0964,83.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-07-2024,SIP,1000,4.1724,239.67
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-08-2024,SIP,3000,45.9207,65.33
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-08-2024,SIP,2000,19.2308,104.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-08-2024,SIP,2000,22.3889,89.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-08-2024,SIP,2000,23.8095,84.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-08-2024,SIP,1000,4.1437,241.33
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-09-2024,SIP,3000,45.4545,66.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-09-2024,SIP,2000,19.0476,105.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-09-2024,SIP,2000,22.2222,90.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-09-2024,SIP,2000,23.5294,85.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-09-2024,SIP,1000,4.1152,243.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-10-2024,SIP,3000,44.9978,66.67
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-10-2024,SIP,2000,18.8679,106.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-10-2024,SIP,2000,22.058,90.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-10-2024,SIP,2000,23.2558,86.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-10-2024,SIP,1000,4.0871,244.67
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-11-2024,SIP,3000,44.5567,67.33
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-11-2024,SIP,2000,18.6916,107.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-11-2024,SIP,2000,21.8986,91.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-11-2024,SIP,2000,22.9885,87.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-11-2024,SIP,1000,4.0596,246.33
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-12-2024,SIP,3000,44.1176,68.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-12-2024,SIP,2000,18.5185,108.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-12-2024,SIP,2000,21.7391,92.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-12-2024,SIP,2000,22.7273,88.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-12-2024,SIP,1000,4.0323,248.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-01-2025,SIP,3000,43.6872,68.67
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-01-2025,SIP,2000,18.4043,108.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-01-2025,SIP,2000,21.6216,92.5
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-01-2025,SIP,2000,22.5555,88.67
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-01-2025,SIP,1000,4.0133,249.17
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-02-2025,SIP,3000,43.2713,69.33
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-02-2025,SIP,2000,18.2932,109.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-02-2025,SIP,2000,21.5054,93.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-02-2025,SIP,2000,22.3889,89.33
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-02-2025,SIP,1000,3.9947,250.33
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-03-2025,SIP,3000,42.8571,70.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-03-2025,SIP,2000,18.1818,110.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-03-2025,SIP,2000,21.3904,93.5
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-03-2025,SIP,2000,22.2222,90.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-03-2025,SIP,1000,3.9761,251.5
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-04-2025,SIP,3000,42.4508,70.67
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-04-2025,SIP,2000,18.0717,110.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-04-2025,SIP,2000,21.2766,94.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-04-2025,SIP,2000,22.058,90.67
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-04-2025,SIP,1000,3.9577,252.67
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-05-2025,SIP,3000,42.058,71.33
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-05-2025,SIP,2000,17.9646,111.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-05-2025,SIP,2000,21.164,94.5
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-05-2025,SIP,2000,21.8986,91.33
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-05-2025,SIP,1000,3.9396,253.83
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-06-2025,SIP,3000,41.6667,72.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-06-2025,SIP,2000,17.8571,112.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-06-2025,SIP,2000,21.0526,95.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-06-2025,SIP,2000,21.7391,92.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-06-2025,SIP,1000,3.9216,255.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-07-2025,SIP,3000,41.3793,72.5
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-07-2025,SIP,2000,17.7778,112.5
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-07-2025,SIP,2000,20.9052,95.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-07-2025,SIP,2000,21.6216,92.5
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-07-2025,SIP,1000,3.9062,256.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-08-2025,SIP,3000,41.0959,73.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-08-2025,SIP,2000,17.6991,113.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-08-2025,SIP,2000,20.762,96.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-08-2025,SIP,2000,21.5054,93.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-08-2025,SIP,1000,3.8911,257.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-09-2025,SIP,3000,40.8163,73.5
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-09-2025,SIP,2000,17.6211,113.5
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-09-2025,SIP,2000,20.6186,97.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-09-2025,SIP,2000,21.3904,93.5
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-09-2025,SIP,1000,3.876,258.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-10-2025,SIP,3000,40.5405,74.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-10-2025,SIP,2000,17.5439,114.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-10-2025,SIP,2000,20.4771,97.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-10-2025,SIP,2000,21.2766,94.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-10-2025,SIP,1000,3.861,259.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-11-2025,SIP,3000,40.2685,74.5
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-11-2025,SIP,2000,17.4672,114.5
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-11-2025,SIP,2000,20.3397,98.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-11-2025,SIP,2000,21.164,94.5
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-11-2025,SIP,1000,3.8462,260.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-12-2025,SIP,3000,40.0,75.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-12-2025,SIP,2000,17.3913,115.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-12-2025,SIP,2000,20.202,99.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-12-2025,SIP,2000,21.0526,95.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-12-2025,SIP,1000,3.8314,261.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-01-2026,SIP,3000,39.6825,75.6
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-01-2026,SIP,2000,17.301,115.6
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-01-2026,SIP,2000,20.0803,99.6
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-01-2026,SIP,2000,20.9644,95.4
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-01-2026,SIP,1000,3.8197,261.8
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-02-2026,SIP,3000,39.3701,76.2
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-02-2026,SIP,2000,17.2117,116.2
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-02-2026,SIP,2000,19.9601,100.2
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-02-2026,SIP,2000,20.8768,95.8
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-02-2026,SIP,1000,3.8081,262.6
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-03-2026,SIP,3000,39.0625,76.8
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-03-2026,SIP,2000,17.1233,116.8
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-03-2026,SIP,2000,19.8413,100.8
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-03-2026,SIP,2000,20.79,96.2
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-03-2026,SIP,1000,3.7965,263.4
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-04-2026,SIP,3000,38.7597,77.4
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-04-2026,SIP,2000,17.0358,117.4
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-04-2026,SIP,2000,19.7239,101.4
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-04-2026,SIP,2000,20.7039,96.6
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-04-2026,SIP,1000,3.785,264.2
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-05-2026,SIP,3000,38.4615,78.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-05-2026,SIP,2000,16.9492,118.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-05-2026,SIP,2000,19.6078,102.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-05-2026,SIP,2000,20.6186,97.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-05-2026,SIP,1000,3.7736,265.0
